ds_name,assay_id,doi,,,Gives Ki,IC50,Ki,Ki Location,Km Citation,Misc. Notes
KLKB1,321206,DOI: 10.1016/j.bmc.2007.11.015,,,FALSE,REVIEW CITING MULTIPLE PAAPERS,,,,
KLKB1,404327,DOI: 10.1021/jm8002697,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
KLKB1,448904,DOI: 10.1021/jm9009394,,,FALSE,Kallikrein not mentioned in paper,,,,
KLKB1,479774,DOI: 10.1021/jm901699j,,,FALSE,1,0.454545455,,,
KLKB1,507741,DOI: 10.1038/nchembio.184,,,FALSE,1,0.705882353,,https://books.google.com/books?id=HVrtBwAAQBAJ&pg=PA153&lpg=PA153&dq=Z-Phe-Arg-AMC+kallikrein+km&source=bl&ots=xFxPwIjZzA&sig=ACfU3U1__-kO6NijjToXjnovIPA-R_N2xA&hl=en&sa=X&ved=2ahUKEwi8mJX7sefpAhVVnp4KHVBUDSEQ6AEwAXoECAoQAQ#v=onepage&q=Z-Phe-Arg-AMC%20kallikrein%20km&f=false,
KLKB1,652664,DOI: 10.1016/j.bmcl.2012.02.014,,,TRUE,1,0.322033898,Subset present Fig. 1,,Only one set of methods presented; check if one of these assays is just the set in Fig. 1 that has Ki fvalues
KLKB1,652666,DOI: 10.1016/j.bmcl.2012.02.014,,,TRUE,1,0.322033898,Subset present Fig. 1,,
KLKB1,732084,DOI: 10.1021/jm3017305,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
KLKB1,762526,DOI: 10.1021/jm400742j,,,FALSE,1,0.827586207,,,
KLKB1,1265727,DOI: 10.1021/acs.jmedchem.5b01171,,,FALSE,1,0.5,,,
KLKB1,1288744,DOI: 10.1039/C5MD00479A,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
KLKB1,1337085,DOI: 10.1021/acsmedchemlett.6b00384,,,FALSE,1,0.25,,,
KLKB1,254779,DOI: 10.1021/jm050488k,,,FALSE,1,0.5,,,
KLKB1,626531,DOI: 10.1016/j.bmcl.2011.08.121,,,FALSE,INSUFFICIENT INFO IN PAPER,,,,
KLKB1,1129678,DOI: 10.1016/j.bmc.2014.02.002,,,FALSE,1,0.5,,,
