baid,activity,aid,sid,mid,cid,geneid,taxid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,dois,ecs,repacxn
424694369,Active,696192,163323846,0,71454975,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,11.8,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694376,Active,696192,163313548,0,71449611,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,40,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694377,Active,696192,163313549,0,71449613,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,27,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694385,Active,696192,163313550,0,71449615,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,24,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694386,Active,696192,163313552,0,71449619,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,42,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694387,Active,696192,163320449,0,71453242,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,10.7,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694390,Active,696192,163337699,0,71462142,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,40,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694391,Active,696192,163316991,0,71451442,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,19,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694396,Active,696192,163330780,0,71458614,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,48,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
424694401,Active,696192,163327301,0,71456762,164656,9606,23026080,Confirmatory,20180923,0,0,Q8IU80,Ki,12.5,ChEMBL,Inhibition of human matriptase-2 expressed in HEK-MT2 cells using fluorogenic Boc- Gln-Ala-Arg-NH-Mec as substrate measured over 400 secs by spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1016/j.bmc.2012.08.042,3.4.21.-,Q8IU80
441593173,Active,1120217,242613717,0,71496204,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,4.4,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593175,Active,1120217,242613718,0,71495561,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,3.2,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593176,Active,1120217,242613725,0,90666139,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.3,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593177,Active,1120217,242613726,0,71495466,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.4,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593178,Active,1120217,242613727,0,71495659,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.77,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593180,Active,1120217,242613728,0,71495660,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.31,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593181,Active,1120217,242613742,0,90666145,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.073,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593183,Active,1120217,242613743,0,90666146,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.42,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593185,Active,1120217,242613744,0,90666147,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.94,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593187,Active,1120217,242613719,0,71495381,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.35,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593189,Active,1120217,242613720,0,50939649,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.11,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593191,Active,1120217,242613733,0,90666141,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.46,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593193,Active,1120217,242613734,0,71495977,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,2.4,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593195,Active,1120217,242613735,0,89399327,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.9,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593197,Active,1120217,242613736,0,71496201,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.3,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593199,Active,1120217,242613737,0,90666142,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.8,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593201,Active,1120217,242613714,0,50939651,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,2.1,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593203,Active,1120217,242613716,0,71495560,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,3.2,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593205,Active,1120217,242613721,0,71495467,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.75,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593207,Active,1120217,242613723,0,71495765,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.6,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593209,Active,1120217,242613730,0,71495976,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,3.9,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593211,Active,1120217,242613732,0,71495975,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.3,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593213,Active,1120217,242613739,0,90666143,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.3,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593214,Active,1120217,242613741,0,90666144,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.18,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593216,Active,1120217,242613713,0,71495468,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,3,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593218,Active,1120217,242613715,0,71495559,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,10,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593220,Active,1120217,242613722,0,71495661,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.21,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593222,Active,1120217,242613724,0,71495766,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.58,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593224,Active,1120217,242613729,0,71495974,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,3.3,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593225,Active,1120217,242613731,0,90666140,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.2,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593226,Active,1120217,242613738,0,71496089,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,0.79,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
441593227,Active,1120217,242613740,0,71496202,164656,9606,,Confirmatory,20181002,0,0,Q8IU80,Ki,1.1,ChEMBL,Inhibition of matriptase-2 (unknown origin) expressed in HEK293 cells using ln-Ala-Arg-a-Arg-para-nitroanilide as substrate by UV-vis spectrophotometry,NULL,Transmembrane protease serine 6 (human),/gene/164656,NULL,3.4.21.-,Q8IU80
444185557,Active,1170923,312368407,0,118720341,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.0154,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185563,Active,1170923,312368409,0,118720343,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.0348,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185564,Active,1170923,312368411,0,118720345,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.04777,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185567,Active,1170923,312368416,0,118720350,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.00248,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185572,Active,1170923,312368412,0,118720346,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.02484,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185573,Active,1170923,312368413,0,118720347,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.00103,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185574,Active,1170923,312368414,0,118720348,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.00256,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185577,Active,1170923,312368415,0,118720349,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.00198,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185579,Active,1170923,312368408,0,118720342,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.01347,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185584,Active,1170923,312368410,0,118720344,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.04678,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185586,Active,1170923,312368417,0,118720351,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.02079,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185589,Active,1170923,312368403,0,118720337,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.0078,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185590,Active,1170923,312368404,0,118720338,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.00074,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185593,Active,1170923,312368405,0,118720339,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.0014,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
444185601,Active,1170923,312368406,0,118720340,164656,9606,25387268,Confirmatory,20181005,0,0,Q8IU80,Ki,0.0063,ChEMBL,Inhibition of human recombinant matriptase-2 using Boc-Gln-Ala-Arg-AMC as substrate by microplate reader analysis,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/jm5015633,3.4.21.-,Q8IU80
446309564,Active,1251572,318393290,0,122192767,164656,9606,26393374,Confirmatory,20181009,0,0,Q8IU80,Ki,13.6,ChEMBL,Inhibition of matriptase (unknown origin) using Ac-RQFRpNA substrate by spectrophotometry method,NULL,Transmembrane protease serine 6 (human),/gene/164656,10.1021/acs.jmedchem.5b01148,3.4.21.-,Q8IU80
