,source,name,pred_value,RMSE
14946,broad,furamidine,-1.071968895808145,0.7509391213003528
7825,drugbank,Deslorelin,-1.0637235458159524,0.7509391213003528
11548,broad,amikacin,-1.0620831013350427,0.7509391213003528
10827,reframe,SZ-042,-1.0525344730086834,0.7509391213003528
1510,drugbank,"2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1H-1,3-benzodiazole-5-carboximidamide",-1.0454900967399643,0.7509391213003528
20421,broad,triptorelin,-1.0264075780664113,0.7509391213003528
5154,drugbank,Triptorelin,-1.0264075780664113,0.7509391213003528
6143,drugbank,5-Chloro-N-{(3S)-1-[(2S)-1-(4-morpholinyl)-1-oxo-2-propanyl]-2-oxo-3-pyrrolidinyl}-1H-indole-2-sulfonamide,-1.0140838064058446,0.7509391213003528
8311,drugbank,Bradykinin,-1.01233000059447,0.7509391213003528
15135,broad,gonadorelin,-1.0029438524792558,0.7509391213003528
16096,broad,leuprolide,-1.0008443169080317,0.7509391213003528
1,drugbank,Leuprolide,-1.0008443169080317,0.7509391213003528
5529,drugbank,2-(4-HYDROXY-5-PHENYL-1H-PYRAZOL-3-YL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,-0.9994388582567534,0.7509391213003528
13987,broad,diminazene-aceturate,-0.9697037982506241,0.7509391213003528
13988,broad,diminazene-aceturate,-0.9697037982506241,0.7509391213003528
3254,drugbank,Diminazene,-0.9697037982506241,0.7509391213003528
10851,reframe,diminazene,-0.9697037982506241,0.7509391213003528
13986,broad,diminazene-aceturate,-0.9697037982506241,0.7509391213003528
10826,reframe,SE-170,-0.9685686588409634,0.7509391213003528
6142,drugbank,6-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-(4-MORPHOLINYL)-2-OXO ETHYL]-2-OXO-3-PYRROLIDINYL}-2-NAPHTHALENESULFONAMIDE,-0.9654695008337514,0.7509391213003528
12133,broad,BCX-1470,-0.9403066202771216,0.7509391213003528
10813,reframe,BMS-654457,-0.931929557575918,0.7509391213003528
15443,broad,hydroxystilbamidine,-0.9036054283518672,0.7509391213003528
10211,drugbank,Hydroxystilbamidine,-0.9036054283518672,0.7509391213003528
3904,drugbank,Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone Hydrate,-0.8901088980007094,0.7509391213003528
20088,broad,thiostrepton,-0.8774518016158885,0.7509391213003528
20090,broad,thiostrepton,-0.8774518016158885,0.7509391213003528
20091,broad,thiostrepton,-0.8774518016158885,0.7509391213003528
20089,broad,thiostrepton,-0.8774518016158885,0.7509391213003528
3287,drugbank,CRA_1144,-0.8566219406568841,0.7509391213003528
2253,drugbank,CRA_10655,-0.8512619798347818,0.7509391213003528
4479,drugbank,Afamelanotide,-0.8480368779742377,0.7509391213003528
1841,drugbank,CRA_17312,-0.8445198137805277,0.7509391213003528
2681,drugbank,CRA_10972,-0.8432807892794401,0.7509391213003528
11903,broad,atosiban,-0.8397165440712894,0.7509391213003528
11901,broad,atosiban,-0.8397165440712894,0.7509391213003528
11902,broad,atosiban,-0.8397165440712894,0.7509391213003528
5188,drugbank,6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE,-0.8270762302486491,0.7509391213003528
10825,reframe,RPR-208566,-0.8256152212121343,0.7509391213003528
5688,drugbank,4-(METHYLSULFONYL)BENZENECARBOXIMIDAMIDE,-0.8155153890945771,0.7509391213003528
3783,drugbank,"[2,4,6-Triisopropyl-Phenylsulfonyl-L-[3-Amidino-Phenylalanine]]-Piperazine-N'-Beta-Alanine",-0.8126252441122778,0.7509391213003528
2766,drugbank,6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide,-0.8027490289504751,0.7509391213003528
2356,drugbank,Terlipressin,-0.8013247557050537,0.7509391213003528
19997,broad,terlipressin,-0.8013247557050537,0.7509391213003528
684,drugbank,Colistin,-0.7962144188642698,0.7509391213003528
3677,drugbank,8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide,-0.7924009617694658,0.7509391213003528
11549,broad,amikacin,-0.7919406391601009,0.7509391213003528
369,drugbank,Amikacin,-0.7919406391601009,0.7509391213003528
11550,broad,amikacin,-0.7919406391601009,0.7509391213003528
553,drugbank,Nafarelin,-0.7898839324844725,0.7509391213003528
13544,broad,CUDC-427,-0.7831098312060772,0.7509391213003528
13545,broad,CUDC-427,-0.7831098312060772,0.7509391213003528
8481,drugbank,GDC-0917,-0.7831098312060772,0.7509391213003528
13008,broad,cephalosporin-c-zn,-0.7788043534865964,0.7509391213003528
8613,drugbank,Selepressin,-0.7666410697983497,0.7509391213003528
1549,drugbank,Hemi-Babim,-0.7647297041510065,0.7509391213003528
1528,drugbank,N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)Isopipecolinic Acid Methyl Ester,-0.7447293452183901,0.7509391213003528
2103,drugbank,CRA_10762,-0.7437402858391895,0.7509391213003528
10848,reframe,Anatibant,-0.7206067937917532,0.7509391213003528
4519,drugbank,Anatibant,-0.7206067937917532,0.7509391213003528
5125,drugbank,Histrelin,-0.7186539477413298,0.7509391213003528
7255,drugbank,Atosiban,-0.7045306869619001,0.7509391213003528
12704,broad,camostat-mesilate,-0.6946573478236571,0.7509391213003528
12703,broad,camostat-mesilate,-0.6946573478236571,0.7509391213003528
9652,drugbank,Camostat,-0.6946573478236571,0.7509391213003528
2417,drugbank,"6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",-0.6901439913354566,0.7509391213003528
5046,drugbank,Arbekacin,-0.6424394908219321,0.7509391213003528
4019,drugbank,ZK-805623,-0.6385056152229285,0.7509391213003528
3242,drugbank,CRA_9785,-0.6367468401634608,0.7509391213003528
5400,drugbank,6-[(Z)-AMINO(IMINO)METHYL]-N-[3-(CYCLOPENTYLOXY)PHENYL]-2-NAPHTHAMIDE,-0.6284713613005396,0.7509391213003528
2307,drugbank,4-(Hydroxymethyl)Benzamidine,-0.6224332444662353,0.7509391213003528
1491,drugbank,Bis(5-Amidino-Benzimidazolyl)Methane,-0.6156728223015793,0.7509391213003528
5272,drugbank,1-[(2R)-2-aminobutanoyl]-N-(4-carbamimidoylbenzyl)-L-prolinamide,-0.609075824487129,0.7509391213003528
12012,broad,AZD5582,-0.5967305609464539,0.7509391213003528
1838,drugbank,Bis-Benzamidine,-0.5956957025788119,0.7509391213003528
4171,drugbank,3-({1-[3-CARBAMIMIDOYL-1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-PROPYLCARBAMOYL]-2-METHYL-BUTYLSULFAMOYL}-METHYL)-BENZOIC ACID,-0.5920862478608333,0.7509391213003528
11386,broad,alarelin,-0.5909755067984872,0.7509391213003528
4269,drugbank,TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE,-0.5828978170063744,0.7509391213003528
10859,reframe,RPR-128515,-0.5648220162558928,0.7509391213003528
4012,drugbank,RPR128515,-0.5648220162558928,0.7509391213003528
15702,broad,isepamicin,-0.556544888448842,0.7509391213003528
15701,broad,isepamicin,-0.556544888448842,0.7509391213003528
9475,drugbank,Isepamicin,-0.556544888448842,0.7509391213003528
8709,drugbank,Plazomicin,-0.5555311024260953,0.7509391213003528
3008,drugbank,1-(2-Amidinophenyl)-3-(Phenoxyphenyl)Urea,-0.5488582401552309,0.7509391213003528
6276,drugbank,+/-METHYL 4-(AMINOIMINOMETHYL)-BETA-[3- INH (AMINOIMINO)PHENYL]BENZENE PENTANOATE,-0.5474522792636449,0.7509391213003528
2132,drugbank,6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine,-0.5470474614649683,0.7509391213003528
2,drugbank,Goserelin,-0.5389885040599449,0.7509391213003528
8191,drugbank,Letaxaban,-0.5370180382747489,0.7509391213003528
4028,drugbank,"Imino[2-(2-oxo-1,2-dihydro-3-pyridinyl)-1H-benzimidazol-5-yl]methanaminium",-0.5275146562531015,0.7509391213003528
10764,reframe,melagatran,-0.5124059659613263,0.7509391213003528
9546,drugbank,Melagatran,-0.5124059659613263,0.7509391213003528
6814,drugbank,"4-[(3AS,4R,7R,8AS,8BR)-2-(1,3-BENZODIOXOL-5-YLMETHYL)-7-HYDROXY-1,3-DIOXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZENECARBOXIMIDAMIDE",-0.5022203458238408,0.7509391213003528
12282,broad,betrixaban,-0.4938614415513228,0.7509391213003528
10760,reframe,Betrixaban,-0.4938614415513228,0.7509391213003528
8502,drugbank,Betrixaban,-0.4938614415513228,0.7509391213003528
10820,reframe,DX-9065a,-0.4724458158688313,0.7509391213003528
8189,drugbank,Elamipretide,-0.4693254661023016,0.7509391213003528
17266,broad,nisin,-0.4669480571121684,0.7509391213003528
3136,drugbank,Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine,-0.4668197864845237,0.7509391213003528
7953,drugbank,Setmelanotide,-0.4579203139214048,0.7509391213003528
4464,drugbank,Ximelagatran,-0.4518682456255334,0.7509391213003528
18536,broad,pumosetrag,-0.451698474440431,0.7509391213003528
5320,drugbank,D-leucyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,-0.4472328954280401,0.7509391213003528
10394,drugbank,ABT-639,-0.44544234901974383,0.7509391213003528
11185,broad,ABT-639,-0.44544234901974383,0.7509391213003528
2017,drugbank,"[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde",-0.4369294791665852,0.7509391213003528
5195,drugbank,1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE,-0.4256738500381184,0.7509391213003528
1740,drugbank,6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,-0.4230021178033947,0.7509391213003528
5812,drugbank,"N-(4-{[amino(imino)methyl]amino}butyl)-2,4'-bi-1,3-thiazole-4-carboxamide",-0.4208119637809846,0.7509391213003528
7912,drugbank,Bremelanotide,-0.4197088131294,0.7509391213003528
12490,broad,bremelanotide,-0.4197088131294,0.7509391213003528
17722,broad,oxytocin,-0.41508516604087264,0.7509391213003528
17721,broad,oxytocin,-0.41508516604087264,0.7509391213003528
407,drugbank,Caspofungin,-0.3990444701464273,0.7509391213003528
8305,drugbank,Avoralstat,-0.3986924383665803,0.7509391213003528
2572,drugbank,CRA_1802,-0.3971857467481909,0.7509391213003528
5455,drugbank,(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide,-0.38526767482656105,0.7509391213003528
5419,drugbank,(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide,-0.3832007713378228,0.7509391213003528
8444,drugbank,Darexaban,-0.3765044657493469,0.7509391213003528
10769,reframe,Darexaban,-0.3765044657493469,0.7509391213003528
8930,drugbank,PSI-352938,-0.3726472384295663,0.7509391213003528
2348,drugbank,"1-[3,3-Dimethyl-2-(2-Methylamino-Propionylamino)-Butyryl]-Pyrrolidine-2-Carboxylic Acid(1,2,3,4-Tetrahydro-Naphthalen-1-Yl)-Amide",-0.37182331590687057,0.7509391213003528
10854,reframe,propamidine,-0.3605161705529265,0.7509391213003528
9256,drugbank,Propamidine,-0.3605161705529265,0.7509391213003528
6764,drugbank,4-({4-[(6-CHLORO-1-BENZOTHIEN-2-YL)SULFONYL]-2-OXOPIPERAZIN-1-YL}METHYL)BENZENECARBOXIMIDAMIDE,-0.35942912463487864,0.7509391213003528
4055,drugbank,CRA_10656,-0.3446172535737878,0.7509391213003528
10140,drugbank,Methylprednisolone aceponate,-0.33526349713377923,0.7509391213003528
16679,broad,methylprednisolone-aceponate,-0.33526349713377923,0.7509391213003528
8371,drugbank,TRV-120027,-0.3292371974110825,0.7509391213003528
10550,drugbank,Coblopasvir,-0.32531145253659755,0.7509391213003528
2452,drugbank,RPR131247,-0.32423110327947324,0.7509391213003528
3116,drugbank,Methyl (2S)-2-[[2-[(3R)-1-carbamimidoylpiperidin-3-yl]acetyl]amino]-3-[4-(2-phenylethynyl)phenyl]propanoate,-0.31754941695357675,0.7509391213003528
5398,drugbank,6-CARBAMIMIDOYL-4-(3-HYDROXY-2-METHYL-BENZOYLAMINO)-NAPHTHALENE-2-CARBOXYLIC ACID METHYL ESTER,-0.31562250947419834,0.7509391213003528
3629,drugbank,Zinc;[amino-[2-[[5-[amino(azaniumylidene)methyl]benzimidazol-1-id-2-yl]methyl]benzimidazol-1-id-5-yl]methylidene]azanium,-0.3072600004061302,0.7509391213003528
4,drugbank,Desmopressin,-0.3012063170758775,0.7509391213003528
5104,drugbank,Saralasin,-0.29485084556446417,0.7509391213003528
3605,drugbank,Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide,-0.2836098953365299,0.7509391213003528
10821,reframe,AZD-8165,-0.2798512317608798,0.7509391213003528
10435,drugbank,AZD-8165,-0.2798512317608798,0.7509391213003528
10843,reframe,WX-UK1,-0.27130025433022464,0.7509391213003528
10790,reframe,WX-UK1,-0.27130025433022464,0.7509391213003528
4629,drugbank,WX-UK1,-0.27130025433022464,0.7509391213003528
3739,drugbank,N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)-4-Acetyl-Piperazine,-0.26568631854725355,0.7509391213003528
5127,drugbank,Lanreotide,-0.26234004725939164,0.7509391213003528
6170,drugbank,"5-Chloro-thiophene-2-carboxylic acid ((3S,4S)-1-{[2-fluoro-4-(2-oxo-2H-pyridin-1-yl)-phenylcarbamoyl]-methyl}-4-hydroxy-pyrrolidin-3-yl)-amide",-0.2594345000895879,0.7509391213003528
10834,reframe,KFA-1829,-0.2551926451516037,0.7509391213003528
10838,reframe,DMP-802,-0.25461838540450554,0.7509391213003528
10828,reframe,Napsagatran,-0.24931613375079,0.7509391213003528
5874,drugbank,"1-{7-cyclohexyl-6-[4-(4-methylpiperazin-1-yl)benzyl]-7H-pyrrolo[2,3-d]pyrimidin-2-yl}methanamine",-0.24678795646113785,0.7509391213003528
7270,drugbank,Edoxaban,-0.22008618968781626,0.7509391213003528
6756,drugbank,3-({4-[(6-CHLORO-1-BENZOTHIEN-2-YL)SULFONYL]-2-OXOPIPERAZIN-1-YL}METHYL)BENZENECARBOXIMIDAMIDE,-0.21648268690134487,0.7509391213003528
10852,reframe,RPR-132747,-0.21648268690134487,0.7509391213003528
7968,drugbank,Encorafenib,-0.2054359757464068,0.7509391213003528
5415,drugbank,(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexyloxy)ethanoyl)pyrrolidine-2-carboxamide,-0.2029923149726424,0.7509391213003528
17639,broad,OTS514,-0.20192248678508076,0.7509391213003528
6106,drugbank,4-({[4-(3-METHYLBENZOYL)PYRIDIN-2-YL]AMINO}METHYL)BENZENECARBOXIMIDAMIDE,-0.20147919339813655,0.7509391213003528
5412,drugbank,(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentyloxy)ethanoyl)pyrrolidine-2-carboxamide,-0.2009254114839042,0.7509391213003528
5821,drugbank,4-(5-BENZENESULFONYLAMINO-1-METHYL-1H-BENZOIMIDAZOL-2-YLMETHYL)-BENZAMIDINE,-0.17962817878728288,0.7509391213003528
5019,drugbank,Anamorelin,-0.17171667588940542,0.7509391213003528
11672,broad,anamorelin,-0.17171667588940542,0.7509391213003528
8112,drugbank,Cilengitide,-0.16801617455020768,0.7509391213003528
13213,broad,cilengitide,-0.16801617455020768,0.7509391213003528
12824,broad,caspofungin,-0.16582309385078775,0.7509391213003528
12825,broad,caspofungin,-0.16582309385078775,0.7509391213003528
4168,drugbank,(2R)-({4-[AMINO(IMINO)METHYL]PHENYL}AMINO){5-ETHOXY-2-FLUORO-3-[(3R)-TETRAHYDROFURAN-3-YLOXY]PHENYL}ACETICACID,-0.16475493257363372,0.7509391213003528
10324,drugbank,Motixafortide,-0.15994355438824492,0.7509391213003528
18651,broad,radezolid,-0.15718851663203948,0.7509391213003528
8484,drugbank,Radezolid,-0.15718851663203948,0.7509391213003528
9483,drugbank,Dibrompropamidine,-0.14655512632520118,0.7509391213003528
10847,reframe,Ro-44-3888,-0.14288867806991726,0.7509391213003528
8773,drugbank,Gusperimus,-0.12853613792318574,0.7509391213003528
3936,drugbank,1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea,-0.12712211898220416,0.7509391213003528
10863,reframe,Roxifiban,-0.11839889759436605,0.7509391213003528
10858,reframe,Ro-43-8857,-0.11476476005064505,0.7509391213003528
5592,drugbank,"4-[(3R)-3-Amino-4-(2,4,5-trifluorophenyl)butanoyl]-3-(2,2,2-trifluoroethyl)-1,4-diazepan-2-one",-0.10926725856475084,0.7509391213003528
10823,reframe,JTV-803,-0.10521230510451307,0.7509391213003528
5346,drugbank,3-Hydroxypropyl 3-[(7-carbamimidoyl-1-naphthyl)carbamoyl]benzenesulfonate,-0.09956438298785177,0.7509391213003528
5254,drugbank,1-butanoyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,-0.098406983942543,0.7509391213003528
2029,drugbank,CRA-9334,-0.09515828117929714,0.7509391213003528
16150,broad,LGX818,-0.058063269781133076,0.7509391213003528
4970,drugbank,Labradimil,-0.047771289510717074,0.7509391213003528
9100,drugbank,JTK-853,-0.042803126235623656,0.7509391213003528
10855,reframe,TO-195,-0.04099288988617078,0.7509391213003528
10835,reframe,KFA-1982,-0.032276793455639496,0.7509391213003528
10524,drugbank,Edratide,-0.006219268984977378,0.7509391213003528
1778,drugbank,Amido Phenyl Pyruvic Acid,-0.00025260487134581844,0.7509391213003528
1525,drugbank,CRA_17693,0.0091048082034898,0.7509391213003528
5243,drugbank,2-(2-METHYLPHENYL)-1H-INDOLE-6-CARBOXIMIDAMIDE,0.009510381429911008,0.7509391213003528
2011,drugbank,[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium,0.017331492746553878,0.7509391213003528
11894,broad,ATN-161,0.03176721943328942,0.7509391213003528
11893,broad,ATN-161,0.03176721943328942,0.7509391213003528
5178,drugbank,(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexylamino)ethanoyl)pyrrolidine-2-carboxamide,0.03243737850521311,0.7509391213003528
5181,drugbank,N-cycloheptylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,0.03243737850521311,0.7509391213003528
5185,drugbank,N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,0.03243737850521311,0.7509391213003528
5174,drugbank,(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide,0.03450428199395128,0.7509391213003528
1607,drugbank,AP-22408,0.03689348110612745,0.7509391213003528
833,drugbank,Netilmicin,0.04060412102070576,0.7509391213003528
10296,drugbank,Retagliptin,0.04437738240046996,0.7509391213003528
5267,drugbank,N-(4-carbamimidoylbenzyl)-1-(3-phenylpropanoyl)-L-prolinamide,0.04629236702337447,0.7509391213003528
4341,drugbank,1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE,0.0650716060687907,0.7509391213003528
12826,broad,caspofungin-acetate,0.0860168283077587,0.7509391213003528
12827,broad,caspofungin-acetate,0.0860168283077587,0.7509391213003528
10812,reframe,Avoralstat,0.08666020431747767,0.7509391213003528
8847,drugbank,Furaprevir,0.09924804394461052,0.7509391213003528
10773,reframe,Furaprevir,0.09924804394461052,0.7509391213003528
17181,broad,netilmicin,0.13506668347188666,0.7509391213003528
17180,broad,netilmicin,0.13506668347188666,0.7509391213003528
17179,broad,netilmicin,0.13506668347188666,0.7509391213003528
17178,broad,netilmicin,0.13506668347188666,0.7509391213003528
7019,drugbank,[N-(BENZYLOXYCARBONYL)AMINO](4-AMIDINOPHENYL)METHANE-PHOSPHONATE,0.14437786824425947,0.7509391213003528
6094,drugbank,"(3ASR,4RS,8ASR,8BRS)-4-(2-(4-FLUOROBENZYL)-1,3-DIOXODEACAHYDROPYRROLO[3,4-A] PYRROLIZIN-4-YL)BENZAMIDINE",0.14912304997679315,0.7509391213003528
2194,drugbank,2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine,0.15428957449169778,0.7509391213003528
5261,drugbank,N-(4-carbamimidoylbenzyl)-1-(4-methylpentanoyl)-L-prolinamide,0.15582515571932232,0.7509391213003528
10816,reframe,PCI-27483,0.158428813880943,0.7509391213003528
9018,drugbank,PCI-27483,0.158428813880943,0.7509391213003528
5534,drugbank,N-(7-CARBAMIMIDOYL-NAPHTHALEN-1-YL)-3-HYDROXY-2-METHYL-BENZAMIDE,0.16428402988925772,0.7509391213003528
5183,drugbank,6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE,0.18168467426570467,0.7509391213003528
8185,drugbank,TAK-448,0.1839599247412752,0.7509391213003528
208,drugbank,Capreomycin,0.18515962219669369,0.7509391213003528
17500,broad,octreotide,0.185798588824884,0.7509391213003528
17502,broad,octreotide,0.185798588824884,0.7509391213003528
17501,broad,octreotide,0.185798588824884,0.7509391213003528
17898,broad,pentamidine,0.18955086426584175,0.7509391213003528
3438,drugbank,Hexamidine,0.18955086426584175,0.7509391213003528
621,drugbank,Pentamidine,0.18955086426584175,0.7509391213003528
17899,broad,pentamidine,0.18955086426584175,0.7509391213003528
2166,drugbank,RU90395,0.19705085926739707,0.7509391213003528
10727,drugbank,Ravidasvir,0.20229096698749205,0.7509391213003528
9963,drugbank,Palmitoyl tetrapeptide-7,0.2146231139096918,0.7509391213003528
12122,broad,BAY-87-2243,0.2197843246180261,0.7509391213003528
10824,reframe,LB-30870,0.2310866275616757,0.7509391213003528
5937,drugbank,"N-((1R,2S)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE",0.2569344396001382,0.7509391213003528
5170,drugbank,"[(2R)-1-[(2S)-2-[[(2S,3S)-1-Chloro-6-(diaminomethylideneamino)-2-hydroxyhexan-3-yl]carbamoyl]pyrrolidin-1-yl]-1-oxo-3-phenylpropan-2-yl]azanium",0.26775737752162765,0.7509391213003528
