Name,SMILES,INCHIKEY,Phase
ONO-6818,CC(C)C(NC(=O)C[N]1=C(N=CC(N)C1=O)c1ccccc1)C(=O)c1nnc(o1)C(C)(C)C,HWXMDNFCOMJNJQ-UHFFFAOYSA-N,2
ZD-0892,[H]N([C@@H](C(C)C)C(=O)C(F)(F)F)C(=O)[C@@H]1CCCN1C(=O)[C@@H](N([H])C(=O)C2=CC=C(OC)C=C2)C(C)C,PNILZVBINXNWHW-FHWLQOOXSA-N,1
BAY-85-8501,CC1=C([C@H](N(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)C)C3=C(C=C(C=C3)C#N)S(=O)(=O)C)C#N,YAJWYFPMASPAMM-HXUWFJFHSA-N,1
Betrixaban,COC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=N)N(C)C)C(=C1)C(=O)NC3=CC=C(Cl)C=N3,XHOLNRLADUSQLD-UHFFFAOYSA-N,3
LY-517717,CN1CCC(CC1)N1CCN(CC1)C(=O)[C@H](NC(=O)c1ccc2[nH]ccc2c1)c1ccccc1,DGNNLUUKJKFBEU-RUZDIDTESA-N,2
SN-429,Cc1cc(C(=O)Nc2ccc(cc2)-c2ccccc2S(N)(=O)=O)n(n1)-c1cccc(c1)C(N)=N,APFKCRTWNKCURW-UHFFFAOYSA-N,1
Razaxaban ,CN(C)CC1=NC=CN1C2=CC(=C(C=C2)NC(=O)C3=CC(=NN3C4=CC5=C(C=C4)ON=C5N)C(F)(F)F)F,OFJRNBWSFXEHSA-UHFFFAOYSA-N,2
melagatran,C1CCC(CC1)[C@H](C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N)NCC(=O)O,DKWNMCUOEDMMIN-PKOBYXMFSA-N,4
ximelagatran,CCOC(=O)CNC(C1CCCCC1)C(=O)N2CCC2C(=O)NCC3=CC=C(C=C3)C(=NO)N,ZXIBCJHYVWYIKI-PZJWPPBQSA-N,5
dabigatran,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,YBSJFWOBGCMAKL-UHFFFAOYSA-N,4
Flovagatran,B([C@H](CCCOC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3)(O)O,PAOGOXGDGABPSC-SGNDLWITSA-N,3
Eribaxaban,CO[C@@H]1C[C@@H](N(C1)C(=O)NC2=CC=C(C=C2)Cl)C(=O)NC3=C(C=C(C=C3)N4C=CC=CC4=O)F,QQBKAVAGLMGMHI-WIYYLYMNSA-N,2
Darexaban,CN1CCCN(CC1)C2=CC=C(C=C2)C(=O)NC3=C(C=CC=C3O)NC(=O)C4=CC=C(C=C4)OC,IJNIQYINMSGIPS-UHFFFAOYSA-N,3
Danoprevir,CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4CC5=C(C4)C(=CC=C5)F)C(=O)NS(=O)(=O)C6CC6,ZVTDLPBHTSMEJZ-JSZLBQEHSA-N,4
Vaniprevir,CC[C@@H]1C[C@@]1(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)OCC(CCCCC5=C6CN(CC6=CC=C5)C(=O)O4)(C)C)C(C)(C)C,KUQWGLQLLVFLSM-ONAXAZCASA-N,4
Glecaprevir,[H][C@@]12C[C@H](N(C1)C(=O)[C@@H](NC(=O)O[C@]1([H])CCC[C@@]1([H])OC\C=C/C(F)(F)C1=NC3=C(C=CC=C3)N=C1O2)C(C)(C)C)C(=O)N[C@@]1(C[C@H]1C(F)F)C(=O)NS(=O)(=O)C1(C)CC1,MLSQGNCUYAMAHD-ZSXAAYSXSA-N,3
Furaprevir,CC(C)OC1=CC=C(C=C1)C2=NC3=C(C(=N2)O[C@@H]4C[C@H]5C(=O)N[C@@]6(C[C@H]6/C=C\CCCCC[C@@H](C(=O)N5C4)NC(=O)OC7CCCC7)C(=O)NS(=O)(=O)C8(CC8)C)OC9=CC=CC=C93,GZRNOYTVBWWFLJ-NTPALUMKSA-N,2
Narlaprevir,CCCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@@H]3[C@@H](C3(C)C)CN2C(=O)[C@H](C(C)(C)C)NC(=O)NC4(CCCCC4)CS(=O)(=O)C(C)(C)C,RICZEKWVNZFTNZ-LFGITCQGSA-N,4
Vedroprevir,CC[C@@H]1C[C@@]1(C(=O)O)NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](C(C)(C)C)NC(=O)O[C@H]3C[C@H]4C[C@H]4C3)OC5=CC(=NC6=C5C=CC(=C6Cl)OCCN7CCOCC7)C8=CSC(=N8)NC(C)C,OTXAMWFYPMNDME-FQQWJMKMSA-N,2
Faldaprevir,CC(C)C(=O)NC1=NC(=CS1)C2=NC3=C(C=CC(=C3Br)OC)C(=C2)O[C@@H]4C[C@H](N(C4)C(=O)[C@H](C(C)(C)C)NC(=O)OC5CCCC5)C(=O)N[C@@]6(C[C@H]6C=C)C(=O)O,LLGDPTDZOVKFDU-XUHJSTDZSA-N,2
IDX-320,CC1=C(C=CC2=C1N=C(C=C2O[C@H]3CCN4[C@@H](C3)C(=O)N[C@@]5(C[C@H]5/C=C\CCCCN(C4=O)C)C(=O)NS(=O)(=O)C6(CC6)C)C7=NC(=CS7)C(F)(F)F)OC,YEPBUHWNLNKZBW-UEMKMYPFSA-N,2
Grazoprevir,COC1=CC2=NC3=C(CCCCC[C@@H]4C[C@H]4OC(=O)N[C@H](C(=O)N5C[C@@H](C[C@H]5C(=O)N[C@@]6(C[C@H]6C=C)C(=O)NS(=O)(=O)C7CC7)O3)C(C)(C)C)N=C2C=C1,OBMNJSNZOWALQB-NCQNOWPTSA-N,3
MK-6325,CC1(CC1)S(=O)(=O)NC(=O)[C@@]23C[C@H]2/C=C\CCCCC[C@H]4C(=O)N5C[C@@H](C[C@H]5C(=O)N3)Oc6c(nc7ccc(cc7n6)OC)CCCCC[C@@H]8CCC[C@H]8OC(=O)N4,BLFKRFGLQFYXDF-CXHHYSKISA-N,1
MK-1220,CC1(CCCc2cc3c(ccnc3O[C@@H]4C[C@H](N(C4)C(=O)[C@@H](NC(=O)OC1)C5CCCCC5)C(=O)N[C@@]6(C[C@H]6C=C)C(=O)NS(=O)(=O)C7CC7)cc2OC)C,JXYSYDXTCQGOTL-QXURCLOISA-N,1
MK-2748,CC1(CC1)S(=O)(=O)NC(=O)[C@]2(C[C@H]2C=C)NC(=O)[C@@H]3C[C@@H]4CN3C(=O)[C@@H](NC(=O)O[C@@H]5CCC[C@H]5CCCCCn6c(=O)c7ccc(cc7nc6O4)OC)C8CCCC8,HMYVZDWJFQOHCD-XEZGQWAWSA-N,1
MK-8831,CC(C)COC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@]4(CCc5c6cc(ccc6nc(c5O4)C(F)(F)F)OC)CN3C1=O)C(=O)NS(=O)(=O)C7(CC7)C,GBJKXZJNFVRHCK-XPTVTBSVSA-N,0
Paritaprevir,Cc1cnc(cn1)C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@]3(NC(=O)[C@@H]4C[C@H](CN4C2=O)Oc5c6ccccc6c7ccccc7n5)C(=O)NS(=O)(=O)C8CC8,UAUIUKWPKRJZJV-QPLHLKROSA-N,3
Simeprevir,CC1=C(C=CC2=C1N=C(C=C2O[C@@H]3C[C@@H]4[C@@H](C3)C(=O)N(CCCC/C=C\[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,JTZZSQYMACOLNN-VDWJNHBNSA-N,3
GS-9132,CCCCCOC1=C(C=C(C=C1)NC(=S)NC(=O)C2=CN=CC=C2)C(F)(F)F,CCCCCOC1=C(C=C(C=C1)NC(=S)NC(=O)C2=CN=CC=C2)C(F)(F)F,1
YM-75466,[H]OC(=O)CS(=O)(=O)N(CC1=CC2=CC(=CC=C2C=C1)\C(=N/[H])N([H])[H])C3=CC=C(OC4CCN(CC4)\C(C)=N/[H])C=C3,NPBKHEMDWREFJJ-UHFFFAOYSA-N,1
Fidexaban,CN1CCN=C1C2=CC=CC(=C2)OC3=C(C(=C(C(=N3)OC4=CC(=CC=C4O)C(=N)N)F)N(C)CC(=O)O)F,NPNSVNGQJGRSNR-UHFFFAOYSA-N,2
rivaroxaban,C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,KGFYHTZWPPHNLQ-AWEZNQCLSA-N,4
RWJ-58643,CC(=O)N1C[C@H](O)C[C@H]1C(=O)NC(CCCNC(N)=N)C(=O)c1nc2ccccc2s1,VXDAVYUFYPFGDX-ATFAPYMMSA-N,1
WX-UK1,CCOC(=O)N1CCN(CC1)C(=O)[C@H](CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=C(C=C(C=C3C(C)C)C(C)C)C(C)C,ISJSHQTWOHGCMM-NDEPHWFRSA-N,2
Telaprevir,CCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@H]3CCC[C@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)C5=NC=CN=C5,BBAWEDCPNXPBQM-GDEBMMAJSA-N,4
Odiparcil,CC1=CC(=O)OC2=C1C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H](CS3)O)O)O,JRHNIQQUVJOPQC-AQNFWKISSA-N,2
JNJ-10326017,c1ccc2cc(ccc2c1)NC(=O)C(c3csc4c3cc(cc4)Cl)P(=O)(O)O,HUJXISJLAPAFBO-UHFFFAOYSA-N,1
Midesteine,CC(C(=O)NC1CCSC1=O)SC(=O)C2=CC=CS2,MKTVMEMIKNBVHI-UHFFFAOYSA-N,3
apixaban,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,QNZCBYKSOIHPEH-UHFFFAOYSA-N,4
Asunaprevir,CC(C)(C)[C@@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=C(C5=C4C=C(C=C5)Cl)OC)NC(=O)OC(C)(C)C,XRWSZZJLZRKHHD-WVWIJVSJSA-N,4
Nafamostat,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,MQQNFDZXWVTQEH-UHFFFAOYSA-N,4
boceprevir,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,LHHCSNFAOIFYRV-DOVBMPENSA-N,4
meclozine,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,OCJYIGYOJCODJL-UHFFFAOYSA-N,4
Mitoxantrone,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,KKZJGLLVHKMTCM-UHFFFAOYSA-N,4
Epicatechin,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,LSHVYAFMTMFKBA-TZIWHRDSSA-N,2
Talabostat,B([C@@H]1CCCN1C(=O)[C@H](C(C)C)N)(O)O,FKCMADOPPWWGNZ-YUMQZZPRSA-N,3
ebselen,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,DYEFUKCXAQOFHX-UHFFFAOYSA-N,4
ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,AFSDNFLWKVMVRB-UHFFFAOYSA-N,4
Epigallocatechin gallate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N,3
LF-22-0542,"CC1=CC(=CC(=C1S(=O)(=O)N(C)CCOCC(=O)N(C)CC2=CC=C(C=C2)C3=NCCN3)C)OC 
",AMTQCENHQIDBHQ-UHFFFAOYSA-N ,2
fradafiban, C1[C@H](C(=O)N[C@@H]1COC2=CC=C(C=C2)C3=CC=C(C=C3)C(=N)N)CC(=O)O , IKZACQMAVUIGPY-HOTGVXAUSA-N ,
lefradafiban, COC(=O)C[C@@H]1C[C@H](NC1=O)COC2=CC=C(C=C2)C3=CC=C(C=C3)/C(=N/C(=O)OC)/N , PGCFXITVMNNKON-ROUUACIJSA-N ,3
Ono-3307,NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)S(N)(=O)=O, YFUQTMNUQVFBBS-UHFFFAOYSA-N,2
Patamostat,C1CC(=O)N(C1=O)CCSC2=CC=C(C=C2)OC(=O)C3=CC=C(C=C3)N=C(N)N, ILRQPCQIFIURTG-UHFFFAOYSA-N,3
BCX-170,NC(=N)c1cc2cc(OC(=O)c3cccs3)ccc2s1,OMJZAWSYRSTQST-UHFFFAOYSA-N,1
Avoralstat, [H]/N=C(/C1=CC=C(C=C1)NC(=O)C2=CC(=C(C=C2C3=CC=C(N=C3C(=O)O)C(=O)NCC4CC4)OC)C=C)\N , TUWMKPVJGGWGNL-UHFFFAOYSA-N ,3
BMS-654457,CC(C)CC(=O)NC1=CC(=CC(=C1)[C@@H]2C[C@](C3=C(N2)C=CC(=C3)C(=N)N)(C)C4=CC=CC=C4)C5=C(C=C(C=C5)C(=O)N)C(=O)O , PDUMJXCNOKHQKH-SVXHESJVSA-N,1
BMS-262084,CC(C)(C)NC(=O)N1CCN(CC1)C(=O)N2[C@@H]([C@H](C2=O)CCCN=C(N)N)C(=O)O , MFTQITSPGQORDA-NEPJUHHUSA-N ,1
atecegatran,NC(=N)c1ccc(CNC(=O)C2CCN2C(=O)[C@H](O)c2cc(Cl)cc(OC(F)F)c2)cc1,QTUUCFVBSVJGOH-ZYMOGRSISA-N,3
PCI-27483,C1=CC2=C(C=C1C(=N)N)NC(=N2)C3=CC(=CC(=C3O)C4=CC(=CC=C4O)S(=O)(=O)N)CC(=O)N[C@@H](CC(=O)O)C(=O)O , WDJHHCAKBRKCLW-IBGZPJMESA-N ,2
TTP-889,OC(=O)[C@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C(F)(F)F,XPDNULZCMNWDGN-SANMLTNESA-N,2
Nokxaban,C1CN(NC=N1)C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl , ZFDKSINSDZTWFU-AWEZNQCLSA-N ,1
Tanogitran,C[C@@](C1=CC2=C(C=C1)N(C(=N2)CNC3=CC=C(C=C3)C(=N)N)C)(C(=O)N4CCCC4)NCC(=O)O , MAOALPSHCIBFJZ-RUZDIDTESA-N ,2
DX-9065a,CC(=N)N1CC[C@@H](C1)OC1=CC=C(C=C1)[C@H](CC1=CC2=C(C=C1)C=CC(=C2)C(N)=N)C(O)=O, LJCBAPRMNYSDOP-LVCYMWGESA-N ,2
AZD-8165,CCC(=O)O[C@H](C1=CC=C(C=C1)F)C(=O)N2[C@@H](CC=N2)C(=O)NCC3=C(C=CC(=C3)Cl)N4C=NN=N4 , YUHNXUAATAMVKD-PZJWPPBQSA-N ,1
RPR 130737,[H]OC1=CC=C(C=C1CN2CC[C@@H](N([H])S(=O)(=O)C3=CC=C(S3)C4=CN=CC=C4)C2=O)\C(=N/[H])N([H])[H],MKXLWSHXRLAPHM-MRXNPFEDSA-N,1
JTV-803,C1CN(CC2=C1C=CC(=C2)OCC3(CCN(CC3)C4=CC=NC=C4)C(=O)O)C(=N)N , MISBTXJXWSXZBF-UHFFFAOYSA-N ,2
LB-30870,NC(=N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCC(O)=O)C(c2ccccc2)c2ccccc2)s1,BIHPYGVYKSQDLA-SQJMNOBHSA-N,2
RPR-208566,C[C@H]([C@@H](CC1=CC(=CC=C1)C(=N)N)C(=O)OC)NC(=O)C2=CC=C(C=C2)C3=CC(=C(C=C3)OC)OC , MSIXFONROGKIIB-UZUQRXQVSA-N ,1
SE-170,c1ccc(c(c1)c2ccc(c(c2)Br)NC(=O)Cc3c[nH]c4c3cc(cc4)C(=N)N)S(=O)(=O)N,OILPCJZAWDBHHE-UHFFFAOYSA-N,
SZ-042,Cc1nc2ccc(cc2c(n1)N)n3c(cc(n3)C(F)(F)F)C(=O)Nc4ccc(cc4F)c5ccccc5S(=O)(=O)N,XPHVEPITOPVRPJ-UHFFFAOYSA-N,
Napsagatran,C1C[C@H](CN(C1)C(=N)N)CNC(=O)C[C@@H](C(=O)N(CC(=O)O)C2CC2)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3 , BYDKEYCXCIVOOV-JTSKRJEESA-N ,2
S-18326,CC(=O)N[C@H](Cc1ccccc1)C(=O)N(CC(=O)N[C@@H](CCCNC(N)=N)B(O)O)C1CCCC1,XSHCQGJMSFRKKN-UXHICEINSA-N,1
UK-156406,CN1CCc2ccc(cc2C1)S(=O)(=O)N[C@@H](Cc1ccc(cc1)C(N)=N)C(=O)N1CCC(C)=C[C@@H]1C(O)=O,JVAXRRYVMKHLDD-BJKOFHAPSA-N,1
Efegatran,CN[C@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C=O , KAGLWQUWUNBAOO-KSZLIROESA-N ,2
CI-1028,CN(C1CCCC1)C(=O)[C@H](Cc1ccc(cc1)C(\N)=N\N)NS(=O)(=O)c1ccc2ccccc2c1,ZPDICRPCOSQEDS-DEOSSOPVSA-N,1
RPR 120844,[H]\N=C(\N([H])[H])C1=CC(CN2CC[C@@H](N(C)S(=O)(=O)C3=CC=C4C=CC(OC)=CC4=C3)C2=O)=CS1,YQYYTNCSSDRJHZ-LJQANCHMSA-N,1
KFA-1829,CS(=O)(=O)c1ccccc1c2ccc(c(c2)OCC(=O)O)CCNS(=O)(=O)c3cc(ccc3O)C(=N)N,JFPVVWMDZGPJTA-UHFFFAOYSA-N,1
KFA-1982,CCCCOC(=O)COc1cc(ccc1CCNS(=O)(=O)c2cc(ccc2O)/C(=N\O)/N)c3ccccc3S(=O)(=O)C,PQCIYLDSCOZTFR-UHFFFAOYSA-N,1
Ro-43-5054,C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCNC(=O)C2=CC=C(C=C2)C(=N)N , XPXOBWWMCFKOKQ-ROUUACIJSA-N ,
Xemilofiban,CCOC(=O)C[C@@H](C#C)NC(=O)CCC(=O)NC1=CC=C(C=C1)C(=N)N , ZHCINJQZDFCSEL-CYBMUJFWSA-N ,3
DMP-802,Cc1c(c(on1)C)S(=O)(=O)N[C@@H](CNC(=O)C[C@H]2CC(=NO2)c3ccc(cc3)C(=N)N)C(=O)O,XKFYFSNOQRUIAO-ZBFHGGJFSA-N,1
SDZ-GPI-562,CC(C)CC(=O)N[C@@H](CCCCNC(=O)c1ccc(cc1)C(N)=N)CC(O)=O,OPSRUAAFZJIVQO-INIZCTEOSA-N,1
â€œSARÂ 351034â€ù,CC1=C(SC(C2=CC=C(C(F)(F)F)C=C2)=N1)COC3=CC(Cl)=C(C(NO)=N)C=C3,WPRDUCVPLRRTGU-UHFFFAOYSA-N,1
Unknown0,COc1cc(c(c(c1)OCCO)F)C(c2[nH]c(=O)n(n2)c3c(scn3)C(=O)O)Nc4ccc(cc4)C(=N)N,RTCZPOICLPCXEV-UHFFFAOYSA-N,
Carafiban,CCOC(=O)C[C@@H](C1=CC=CC=C1)NC(=O)CN2C(=O)[C@](NC2=O)(C)C3=CC=C(C=C3)C(=N)N , SSGOEPXWNBXKPQ-UUOWRZLLSA-N ,1
WX-UK1,CCOC(=O)N1CCN(CC1)C(=O)[C@H](CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=C(C=C(C=C3C(C)C)C(C)C)C(C)C, ISJSHQTWOHGCMM-NDEPHWFRSA-N ,2
LAMIFIBAN,NC(=N)C1=CC=C(C=C1)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)N3CCC(CC3)OCC(O)=O,FPKOGTAFKSLZLD-UHFFFAOYSA-N,4
SC 52012,c1ccc(cc1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCCCc2ccc(cc2)C(=N)N,YXUFNCCYLKSGSM-WOJBJXKFSA-N,1
Sibrafiban,CCOC(=O)COC1CCN(CC1)C(=O)[C@H](C)NC(=O)C2=CC=C(C=C2)/C(=N/O)/N , WBNUCLPUOSXSNJ-ZDUSSCGKSA-N ,3
Ro-44-3888,C[C@@H](C(=O)N1CCC(CC1)OCC(=O)O)NC(=O)C2=CC=C(C=C2)C(=N)N , BHOGTSLQMNCJHA-NSHDSACASA-N ,
Anatibant, CC1=CC(=NC2=C1C=CC=C2OCC3=C(C=CC(=C3Cl)S(=O)(=O)N4CCC[C@H]4C(=O)NCCCNC(=O)C5=CC=C(C=C5)C(=N)N)Cl)C , XUHBBTKJWIBQMY-MHZLTWQESA-N ,2
FR-144633,[H]OC(=O)C[C@H](N([H])C(=O)CCCOC1=CC=C(C=C1)\C(=N/[H])N([H])[H])C(=O)N([H])[C@@H](C(C)C)C(=O)O[H], JFCXCBBSUORTNS-YOEHRIQHSA-N ,2
STILBAMIDINE,C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)C(=N)N)C(=N)N , MMURVNDSFNJHAM-OWOJBTEDSA-N ,4
diminazene,C1=CC(=CC=C1C(=N)N)N/N=N/C2=CC=C(C=C2)C(=N)N , XNYZHCFCZNMTFY-UHFFFAOYSA-N ,
RPR-132747,C1CN(C(=O)CN1S(=O)(=O)C2=CC3=C(S2)C=C(C=C3)Cl)CC4=CC=CC(=C4)C(=N)N , PRMSFVUWLBPPLY-UHFFFAOYSA-N ,1
HYDROXYSTILBAMIDINE,[H]OC1=CC(=CC=C1C=CC2=CC=C(C=C2)\C(=N/[H])N([H])[H])\C(=N/[H])N([H])[H], TUESWZZJYCLFNL-UHFFFAOYSA-N ,4
propamidine,C1=CC(=CC=C1C(=N)N)OCCCOC2=CC=C(C=C2)C(=N)N , WTFXJFJYEJZMFO-UHFFFAOYSA-N ,4
TO-195,c1cc(cc2c1cc(cc2)OC(=O)c3ccc(o3)CNC(=O)CCCC(=O)O)C(=N)N,PYPHMWDHLNOTRE-UHFFFAOYSA-N,1
T-250,NC(=N)c1ccc(OCCCN2CCN([C@@H](CC(O)=O)c3ccccc3)C(=O)C2=O)cc1,OUUJNMNTWRXPRE-IBGZPJMESA-N,1
G-7453,[H]OC(=O)CCN1CC2=NN=NN2C3=C(C=C(C=C3)N([H])C(=O)C4=CC=C(C=C4)\C(=N\[H])N([H])[H])C1=O,SXAVWARGHMNBCH-UHFFFAOYSA-N,2
Ro-43-8857,CN(CC(=O)c1ccc(c(c1)OCC(=O)O)OCC(=O)O)C(=O)c2ccc(cc2)C(=N)N,ZCCMELPMDDSRHL-UHFFFAOYSA-N,
RPR-128515,C[C@H]([C@@H](CC1=CC=CC(=C1)C(=N)N)C(=O)OC)NC(=O)C2=CC=C(C=C2)C3=CC(=CC=C3)CN , XFKVLKLCLYJKNF-MZNJEOGPSA-N ,1
Pafuramidine,CO/N=C(\N)/C1=CC=C(C=C1)C2=CC=C(O2)C3=CC=C(C=C3)/C(=N/OC)/N , UKOQVLAXCBRRGH-UHFFFAOYSA-N ,3
BABIM,[H]\N=C(/N([H])[H])C1=CC=C2N([H])C(CC3=NC4=CC(=CC=C4N3[H])\C(=N\[H])N([H])[H])=NC2=C1, QZKOOEFIMWKZPK-UHFFFAOYSA-N ,
Upamostat,CCOC(=O)N1CCN(CC1)C(=O)[C@H](CC2=CC(=CC=C2)/C(=N/O)/N)NS(=O)(=O)C3=C(C=C(C=C3C(C)C)C(C)C)C(C)C , HUASEDVYRABWCV-NDEPHWFRSA-N ,2
Roxifiban,CCCCOC(=O)N[C@@H](CNC(=O)C[C@H]1CC(=NO1)C2=CC=C(C=C2)C(=N)N)C(=O)OC , IRAXRQFCCSHQDX-WBVHZDCISA-N ,3
